ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,label
3,0,0,10,0,3,2,1,0,1,0,2,2,0.005747126,29.18,15.4,5.88,28.0,1.001297712,1.001297712,0.984206378,0.0,0
5,1,0,18,0,6,1,2,1,1,1,0,2,0.005934718,22.24,16.0,5.9375,27.0,1.003414392,1.001820683,0.982135355,0.985936224,0
4,0,1,13,0,0,3,1,0,0,1,5,1,0.005181347,25.12,17.0,5.551724138,33.0,1.023602486,1.023602486,0.974638522,0.0,0
5,1,0,11,5,4,0,2,1,0,1,0,0,0.029850746,27.32,14.0,5.675,22.5,1.012152672,1.071123898,0.979693055,0.988675058,0
7,2,1,11,0,3,3,1,1,2,1,2,1,0.004149378,31.89,18.5,4.804878049,47.0,1.006930709,1.006930709,0.982685804,0.0,0
2,1,1,6,0,3,1,1,1,1,0,2,2,0.041666667,76.22,5.6,4.72,14.0,1.237025857,1.036442339,0.981105447,0.973471701,0
7,0,3,17,0,6,0,3,0,1,2,3,0,0.042944785,46.06,11.0,5.230769231,19.0,1.16358304,1.110067725,0.979401886,0.977641881,0
2,1,1,16,0,4,0,2,1,0,1,2,0,0.008438819,13.95,15.0,6.580645161,17.5,1.001233459,1.002879858,0.977248907,0.985351682,0
7,0,0,11,0,5,0,3,0,1,1,3,0,0.012195122,34.22,11.4,5.971428571,12.66666667,1.004533172,1.004935225,0.985189915,0.974596292,0
15,0,6,32,0,9,7,5,1,4,1,4,4,0.013513514,26.4,14.4,5.595959596,23.0,1.069985628,1.085654616,0.960197985,0.968740776,0
5,1,2,19,0,4,1,2,0,0,1,2,1,0.005763689,5.32,18.4,6.340425532,25.0,1.001656294,1.004641891,0.957574666,0.983461857,0
4,2,3,16,0,5,1,2,0,0,3,3,1,0.024096386,28.17,15.8,5.346153846,27.5,1.000888348,1.025041461,0.984509528,0.985714376,0
5,0,0,10,1,3,0,2,0,2,0,1,0,0.027522936,62.68,8.7,5.382352941,18.0,1.052760482,1.046708286,0.984502375,0.98242712,0
8,1,1,14,0,5,5,2,0,1,0,1,3,0.020905923,48.13,12.3,5.108695652,26.5,1.002751231,1.508784294,0.974405348,0.978847504,0
5,0,0,9,0,4,0,2,1,0,1,1,1,0.036649215,24.95,12.9,6.269230769,15.0,1.349794269,1.286654711,0.983394325,0.982951105,0
1,0,1,6,0,2,2,1,2,0,0,2,0,0.09352518,18.35,15.4,5.523809524,26.0,1.134683728,1.134683728,0.983922064,0.0,0
6,2,0,17,0,7,4,3,0,2,2,3,3,0.016666667,51.89,10.8,5.103448276,21.66666667,1.016236544,1.044136683,0.975307524,0.978491515,0
2,1,0,6,0,1,0,1,0,0,0,2,2,0.00862069,28.84,13.5,5.823529412,18.0,1.002274275,1.002274275,0.990745544,0.0,0
4,0,1,7,0,2,0,1,0,1,0,1,1,0.006289308,37.64,14.2,5.36,26.0,1.000403881,1.000403881,0.980919123,0.0,0
2,0,0,7,0,5,0,1,0,2,1,1,1,0.029069767,35.61,15.0,5.37037037,28.0,1.001265764,1.001265764,0.990541458,0.0,0
8,6,1,18,1,6,2,2,0,0,4,3,3,0.004830918,16.15,18.3,5.866666667,32.0,1.019402742,1.007554173,0.968546927,0.9892084,0
3,1,1,13,0,3,1,2,0,1,1,0,1,0.009009009,28.84,13.5,5.470588235,18.5,1.000677466,1.000730932,0.98419565,0.976100862,0
6,0,0,5,0,2,0,1,1,0,1,0,1,0.006535948,-22.94,20.9,7.052631579,21.0,1.095556021,1.095556021,0.982300103,0.0,0
5,0,0,12,0,2,1,2,5,1,0,2,5,0.026315789,30.87,12.7,5.457142857,21.5,1.109239221,1.058127642,0.976106048,0.979462147,0
9,1,2,17,0,1,0,2,0,0,4,1,1,0.020477816,32.22,14.2,5.636363636,23.0,1.004153609,1.00787276,0.982091486,0.985386729,0
19,2,3,32,0,6,2,3,1,1,1,4,6,0.012718601,-0.27,20.5,5.944444444,32.66666667,1.003506184,1.001926899,0.959187686,0.985000879,0
3,0,0,7,0,1,0,1,0,0,2,2,2,0.007633588,48.13,12.3,4.695652174,24.0,1.002816439,1.002816439,0.982939184,0.0,0
3,0,0,9,0,3,1,1,3,3,2,2,0,0.035502959,12.26,17.8,5.0,33.0,1.011491537,1.011491537,0.98652637,0.0,0
5,2,4,23,0,11,1,4,1,0,0,2,2,0.037593985,35.78,12.9,5.857142857,21.25,1.156152129,1.191552997,0.97350812,0.989809195,0
9,1,1,14,0,8,2,4,3,1,1,0,0,0.013404826,33.92,11.5,6.215686275,15.0,1.087100625,1.041985393,0.984710693,0.974813322,0
3,0,0,8,0,1,0,2,0,1,0,3,2,0.033333333,51.34,9.0,5.47826087,12.5,1.103721976,1.09113729,0.98563838,0.976377547,0
